id,barcode,name,brand,source,ingredients,countries,allergens_confirmed,allergens_may_contain
00549882,00549882,Steamed Chicken Soup Dumplings,Trader Joe's,OFF,"FILLING: Chicken, Water, Onion, Green Onion, Soy Sauce (Water, Soybeans, Wheat, Salt), Ginger, Gelatin, Sugar, Cooking Rice Wine (Water, Alcohol, Salt), Sesame Oil, Soybean Oil, Salt, Autolyzed Yeast Extract, White Pepper, Chicken Flavored Powder (Yeast Extract, Natural Flavor, Salt), Yeast Extract, DOUGH: Enriched Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Wheat Flour, Modified Tapioca Starch, Salt, Soybean Oil.",United States,"en:gluten, en:soybeans, en:wheat, en:sesame-seeds, en:barley",
0034023754541,0034023754541,instant noodles,vitasia,OFF,,en:Malta,,
5287616030118,5287616030118,Miso Ramen Bowl,ocean's Halo,OFF,,en:United States,,
2709255,,"Pear, Asian, raw",,USDA,,United States,,
168177,,"Pears, asian, raw",,USDA,,United States,,
2709943,,"Mushroom, Asian, cooked, from dried",,USDA,,United States,,
2710036,,"Asian stir fry vegetables, cooked, fat added",,USDA,,United States,,
2710035,,"Asian stir fry vegetables, cooked, no added fat",,USDA,,United States,,
2706816,,"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",,USDA,,United States,,
2706817,,"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",,USDA,,United States,,
2166280,832112003781,"ASIAN BLEND, ASIAN","Texas Star Nut & Food Company, Inc.",USDA,"RICE CRACKERS (GLUTINOUS RICE, SOY SAUCE (WATER, SOYBEANS, WHEAT, SALT), SUGAR, MALTODEXTRIN, CHILI POWDER, SEAWEED, DISODIUM5-INOSINATE AND DISODIUM5-GUANYLATE (FLAVOR ENHANCERS]), ROASTED SALTED PEANUTS (PEANUTS, OIL (PEANUT, COTTONSEED AND/OR CANOLA, SALT), JAPANESE PEANUTS (PEANUTS, SOY FLOUR, WHEAT FLOUR, CANE SUGAR, SOY SAUCE (WATER, SOY BEANS, WHEAT, SALT), TAPIOCA STARCH, RICE FLOUR, SEA SALT, LEAVENING (AMMONIUM BICARBONATE, BAKING SODA), AND POTATO STARCH), SESAME STICKS (UNBLEACHED WHEAT FLOUR (CONTAINS MALTED BARLEY FLOUR AS AN ENZYME ADDITIVE), SOYBEAN OIL, SESAME SEEDS, BULGUR WHEAT, SALT, BEET POWDER (COLOR), TURMERIC (COLOR)), HONEY ROASTED PEANUTS (PEANUTS, SUGAR, HONEY, SUNFLOWER OIL, SALT, AND GUM ARABIC), WASABI PEAS (GREEN PEA, GLUTINOUS RICE, SUGAR, PALM OIL, CORN STARCH, SALT, WASABI POWDER (MALTODEXTRIN, MUSTARD, CORN STARCH)), ROASTED SALTED ALMONDS (ALMONDS, OIL (PEANUT, COTTONSEED AND/OR CANOLA), SALT).",United States,"en:peanuts, en:soybeans, en:wheat, en:tree-nuts, en:sesame-seeds, en:mustard, en:barley",
